sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,1,0,0,2,2,0.7169811320754718,1.0,0.8449438202247191
ResearchPaper1,0,0,1,0,0,2,3,0.6538461538461539,1.0,0.7417218543046358
ResearchPaper1,0,0,1,0,0,3,0,0.9423076923076923,1.0,0.8132118451025057
ResearchPaper1,0,0,1,0,0,3,1,0.7307692307692308,1.0,0.7624434389140271
ResearchPaper1,0,0,1,0,0,3,2,0.7378640776699029,1.0,0.6952965235173824
ResearchPaper1,0,0,1,0,0,3,3,0.6666666666666667,1.0,0.7864923747276689
ResearchPaper1,0,0,1,0,1,0,0,0.9724770642201834,1.0,0.7122153209109731
ResearchPaper1,0,0,1,0,1,0,1,0.7476635514018692,1.0,0.6145454545454545
ResearchPaper1,0,0,1,0,1,0,2,0.6788990825688073,1.0,0.7020408163265306
ResearchPaper1,0,0,1,0,1,0,3,0.5283018867924528,1.0,0.7037815126050421
ResearchPaper1,0,0,1,0,1,1,0,0.9719626168224299,1.0,0.8993135011441648
ResearchPaper1,0,0,1,0,1,1,1,0.88,1.0,0.7528604118993135
ResearchPaper1,0,0,1,0,1,1,2,0.6605504587155964,1.0,0.8816964285714286
ResearchPaper1,0,0,1,0,1,1,3,0.5925925925925926,1.0,0.667910447761194
ResearchPaper1,0,0,1,0,1,2,0,0.9532710280373832,1.0,0.8787185354691075
ResearchPaper1,0,0,1,0,1,2,1,0.8703703703703703,1.0,0.6597077244258872
ResearchPaper1,0,0,1,0,1,2,2,0.6542056074766356,1.0,0.9140969162995595
ResearchPaper1,0,0,1,0,1,2,3,0.6019417475728155,1.0,0.4128
ResearchPaper1,0,0,1,0,1,3,0,0.912621359223301,1.0,0.7004132231404959
ResearchPaper1,0,0,1,0,1,3,1,0.819047619047619,1.0,0.7280163599182005
ResearchPaper1,0,0,1,0,1,3,2,0.6981132075471699,1.0,0.7746781115879828
ResearchPaper1,0,0,1,0,1,3,3,0.7692307692307692,1.0,0.7098214285714286
ResearchPaper1,0,0,1,0,2,0,0,0.962962962962963,1.0,0.8835616438356164
ResearchPaper1,0,0,1,0,2,0,1,0.8712871287128713,1.0,0.7551487414187643
ResearchPaper1,0,0,1,0,2,0,2,0.6481481481481481,1.0,0.8632286995515696
