model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,,
Process101,0,0,0,3,3,0,2,8,0.655462185,0.655462185,0.828390323,0.84863774,0.405,,,
Process101,0,0,0,3,3,0,3,9,0.683333333,0.683333333,0.768225,0.858575727,0.3775,,,
Process101,0,0,0,3,3,1,0,7,0.722689076,0.722689076,0.645927586,0.874376869,0.5675,,,
Process101,0,0,0,3,3,1,1,8,0.789915966,0.789915966,0.798996552,0.899507389,0.615,,,
Process101,0,0,0,3,3,1,2,9,0.830508475,0.830508475,0.874242857,0.914789422,0.445,,,
Process101,0,0,0,3,3,1,3,10,0.521008403,0.521008403,0.609133333,0.79524302,0.445,,,
Process101,0,0,0,3,3,2,0,8,0.745762712,0.745762712,0.650615038,0.883697813,0.4325,,,
Process101,0,0,0,3,3,2,1,9,0.701754386,0.701754386,0.836317172,0.870221328,0.485,,,
Process101,0,0,0,3,3,2,2,10,0.666666667,0.666666667,0.707757895,0.85469223,0.5425,,,
Process101,0,0,0,3,3,2,3,11,0.771929825,0.771929825,0.727443137,0.895626243,0.5825,,,
Process101,0,0,0,3,3,3,0,9,0.793103448,0.793103448,0.862751261,0.902173913,0.655,,,
Process101,0,0,0,3,3,3,1,10,0.700854701,0.700854701,0.639814286,0.867602808,0.525,,,
Process101,0,0,0,3,3,3,2,11,0.666666667,0.666666667,0.7061,0.85469223,0.61,,,
Process101,0,0,0,3,3,3,3,12,0.534482759,0.534482759,0.609016149,0.804550155,0.4525,,,
Process101,0,0,1,0,0,0,0,1,0.963636364,0.963636364,0.958831169,0.978033473,0.565,,,
Process101,0,0,1,0,0,0,1,2,0.900900901,0.900900901,0.938045455,0.955649419,0.7375,,,
Process101,0,0,1,0,0,0,2,3,0.690265487,0.690265487,0.881659398,0.875273523,0.49,,,
Process101,0,0,1,0,0,0,3,4,0.631578947,0.631578947,0.899690323,0.863340564,0.4675,,,
Process101,0,0,1,0,0,1,0,2,0.963636364,0.963636364,0.956688312,0.978033473,0.725,,,
Process101,0,0,1,0,0,1,1,3,0.925925926,0.925925926,0.945909091,0.965153115,0.5575,,,
